ccy,date,rate
TRY,2005-12-01,0.7358351729212657
TWD,2005-12-01,0.029794714417662307
USD,2005-12-01,1.0
ZAR,2005-12-01,0.1548035542896065
AUD,2005-12-02,0.7461016190405133
CAD,2005-12-02,0.8594018563080097
CHF,2005-12-02,0.7573462587094819
CNY,2005-12-02,0.12382674162312095
CZK,2005-12-02,0.04045814806873031
DKK,2005-12-02,0.15688981628202514
EUR,2005-12-02,1.1692334313895136
GBP,2005-12-02,1.7304031839418583
HKD,2005-12-02,0.12895571660691718
HUF,2005-12-02,0.0046466890017518026
ILS,2005-12-02,0.2148320013749248
INR,2005-12-02,0.02168256721595837
JPY,2005-12-02,0.008280887711162636
KRW,2005-12-02,0.0009629272989889263
MYR,2005-12-02,0.2646202699126753
NOK,2005-12-02,0.1477017606049864
NZD,2005-12-02,0.7101768340316741
PLN,2005-12-02,0.3024711896191888
RUB,2005-12-02,0.03449786630696891
SAR,2005-12-02,0.26663111585121985
SEK,2005-12-02,0.12402331638348013
SGD,2005-12-02,0.5922416345869115
THB,2005-12-02,0.024163344206838227
TRY,2005-12-02,0.7352941176470588
TWD,2005-12-02,0.029824927674550382
USD,2005-12-02,1.0
ZAR,2005-12-02,0.15701051970482022
AUD,2005-12-05,0.7497938067031565
CAD,2005-12-05,0.8634832915983076
CHF,2005-12-05,0.7619628162145687
CNY,2005-12-05,0.12377769525931424
CZK,2005-12-05,0.04068861410511497
DKK,2005-12-05,0.1578083575306148
EUR,2005-12-05,1.175755470649531
GBP,2005-12-05,1.736714136853074
HKD,2005-12-05,0.1289640319314943
HUF,2005-12-05,0.004671831843953343
ILS,2005-12-05,0.2157730067968497
INR,2005-12-05,0.0216169476869866
JPY,2005-12-05,0.00826514587982478
KRW,2005-12-05,0.0009647853352629039
MYR,2005-12-05,0.2644802962179317
NOK,2005-12-05,0.1493406609817655
NZD,2005-12-05,0.7179781734635267
PLN,2005-12-05,0.30461800901669306
RUB,2005-12-05,0.034566194262011754
SAR,2005-12-05,0.26663111585121985
SEK,2005-12-05,0.12456557754830028
SGD,2005-12-05,0.5928033671231252
THB,2005-12-05,0.0241750271969056
TRY,2005-12-05,0.7369196757553427
TWD,2005-12-05,0.029856539328526437
USD,2005-12-05,1.0
ZAR,2005-12-05,0.15824537527890747
AUD,2005-12-06,0.753693096171239
CAD,2005-12-06,0.8646779074794638
CHF,2005-12-06,0.7651694850409366
CNY,2005-12-06,0.12382367508667655
CZK,2005-12-06,0.040578157589332815
DKK,2005-12-06,0.15807277670639566
EUR,2005-12-06,1.17764644533287
GBP,2005-12-06,1.7382235355466713
HKD,2005-12-06,0.1289640319314943
HUF,2005-12-06,0.004636066464503262
ILS,2005-12-06,0.21558693543171287
INR,2005-12-06,0.021668472372697724
JPY,2005-12-06,0.00826241427745187
KRW,2005-12-06,0.0009666505558240695
MYR,2005-12-06,0.264515275757175
NOK,2005-12-06,0.1480362985003923
NZD,2005-12-06,0.7172057663343613
PLN,2005-12-06,0.305791694697572
RUB,2005-12-06,0.034584245492808204
SAR,2005-12-06,0.2666453350398635
SEK,2005-12-06,0.12550358312729828
SGD,2005-12-06,0.5930142916444286
THB,2005-12-06,0.024096385542168683
TRY,2005-12-06,0.7388252678241596
TWD,2005-12-06,0.02988464526926065
USD,2005-12-06,1.0
ZAR,2005-12-06,0.15904572564612324
AUD,2005-12-07,0.747887218607434
CAD,2005-12-07,0.8630361612151549
CHF,2005-12-07,0.7615566217348261
CNY,2005-12-07,0.12383747569689538
CZK,2005-12-07,0.04042412997166269
DKK,2005-12-07,0.15737870036669238
EUR,2005-12-07,1.1722405129093745
GBP,2005-12-07,1.7328019407381738
HKD,2005-12-07,0.1289573795860468
HUF,2005-12-07,0.004618628313577151
ILS,2005-12-07,0.2160060481693488
